Date,AAPL,MSFT,TSLA
2022-06-08,145.18190002441406,262.1972961425781,241.86666870117188
2022-06-09,139.96177673339844,256.748046875,239.7066650390625
2022-06-10,134.55526733398438,245.30638122558594,232.22999572753906
2022-06-13,129.4038543701172,234.90228271484375,215.73666381835938
2022-06-14,130.26730346679688,237.06454467773438,220.88999938964844
2022-06-15,132.88717651367188,244.11373901367188,233.0
2022-06-16,127.61801147460938,237.52993774414062,213.10000610351562
2022-06-17,129.08984375,240.1285400390625,216.75999450683594
2022-06-21,133.31893920898438,246.03358459472656,237.0366668701172
2022-06-22,132.80868530273438,245.442138671875,236.086669921875
2022-06-23,135.6738739013672,250.9980926513672,235.07000732421875
2022-06-24,139.000244140625,259.5696105957031,245.7066650390625
2022-06-27,139.000244140625,256.8450012207031,244.9199981689453
2022-06-28,134.8594207763672,248.6903839111328,232.663330078125
2022-06-29,136.61582946777344,252.35562133789062,228.49000549316406
2022-06-30,134.1529541015625,249.02975463867188,224.47332763671875
2022-07-01,136.32144165039062,251.69622802734375,227.26333618164062
2022-07-05,138.90206909179688,254.8668670654297,233.06666564941406
2022-07-06,140.23655700683594,258.1248779296875,231.73333740234375
2022-07-07,143.6021270751953,260.248291015625,244.5433349609375
2022-07-08,144.27919006347656,259.5308532714844,250.76333618164062
2022-07-11,142.14991760253906,256.4764404296875,234.3433380126953
2022-07-12,143.121337890625,245.9657440185547,233.07000732421875
2022-07-13,142.75828552246094,245.04457092285156,237.0399932861328
2022-07-14,145.68235778808594,246.36326599121094,238.31333923339844
2022-07-15,147.35040283203125,248.92306518554688,240.06666564941406
2022-07-18,144.30865478515625,246.52810668945312,240.54666137695312
2022-07-19,148.1648406982422,251.64773559570312,245.52999877929688
2022-07-20,150.16653442382812,254.30450439453125,247.5
2022-07-21,152.43319702148438,256.79644775390625,271.7066650390625
2022-07-22,151.19680786132812,252.45252990722656,272.24334716796875
2022-07-25,150.07821655273438,250.968994140625,268.4333190917969
2022-07-26,148.75357055664062,244.24948120117188,258.8599853515625
2022-07-27,153.8461151123047,260.5780029296875,274.82000732421875
2022-07-28,154.3956298828125,268.0151062011719,280.8999938964844
2022-07-29,159.45870971679688,272.21356201171875,297.1499938964844
2022-08-01,158.4774932861328,269.5664978027344,297.27667236328125
2022-08-02,157.0056610107422,266.473388671875,300.586669921875
2022-08-03,163.0107879638672,273.89105224609375,307.39666748046875
2022-08-04,162.69676208496094,275.0352478027344,308.6333312988281
2022-08-05,162.4707794189453,274.31768798828125,288.1700134277344
2022-08-08,161.99911499023438,271.80633544921875,290.42333984375
2022-08-09,162.04824829101562,273.7261657714844,283.3333435058594
2022-08-10,166.29306030273438,280.3778381347656,294.3566589355469
2022-08-11,165.5561065673828,278.3028259277344,286.6300048828125
2022-08-12,169.1032257080078,283.0442810058594,300.0299987792969
2022-08-15,170.17425537109375,284.55694580078125,309.32000732421875
2022-08-16,170.01702880859375,283.8199768066406,306.5633239746094
2022-08-17,171.5105743408203,283.07183837890625,303.9966735839844
2022-08-18,171.11752319335938,281.9544372558594,302.8699951171875
2022-08-19,168.53334045410156,278.0482177734375,296.6666564941406
2022-08-22,164.65211486816406,269.88604736328125,289.913330078125
2022-08-23,164.3180389404297,268.6131591796875,296.4533386230469
2022-08-24,164.61279296875,267.9815673828125,297.0966796875
2022-08-25,167.0692596435547,270.9549255371094,296.07000732421875
2022-08-26,160.77088928222656,260.49957275390625,288.0899963378906
2022-08-29,158.5699005126953,257.7205505371094,284.82000732421875
2022-08-30,156.14291381835938,255.52447509765625,277.70001220703125
2022-08-31,154.4823455810547,254.0669708251953,275.6099853515625
2022-09-01,155.20945739746094,253.02725219726562,277.1600036621094
2022-09-02,153.0968780517578,248.8101348876953,270.2099914550781
2022-09-06,151.8391876220703,246.07969665527344,274.4200134277344
2022-09-07,153.24429321289062,250.78268432617188,283.70001220703125
2022-09-08,151.7703857421875,251.20046997070312,289.260009765625
2022-09-09,154.62969970703125,256.9722900390625,299.67999267578125
2022-09-12,160.584228515625,259.1003112792969,304.4200134277344
2022-09-13,151.1611785888672,244.8553924560547,292.1300048828125
2022-09-14,152.60557556152344,245.07888793945312,302.6099853515625
2022-09-15,149.71678161621094,238.43251037597656,303.75
2022-09-16,148.0758819580078,237.81065368652344,303.3500061035156
2022-09-19,151.79002380371094,237.59689331054688,309.07000732421875
2022-09-20,154.1678924560547,235.58551025390625,308.7300109863281
2022-09-21,151.04327392578125,232.18455505371094,300.79998779296875
2022-09-22,150.0803680419922,234.15708923339844,288.5899963378906
2022-09-23,147.8105926513672,231.18374633789062,275.3299865722656
2022-09-26,148.14466857910156,230.72703552246094,276.010009765625
2022-09-27,149.1173858642578,229.71649169921875,282.94000244140625
2022-09-28,147.2307891845703,234.2445831298828,287.80999755859375
2022-09-29,139.99900817871094,230.77565002441406,268.2099914550781
2022-09-30,135.7935333251953,226.30589294433594,265.25
